response_id,recorded_datetime,status,progress,is_finished,duration,id,snippet
R_SJNBFBJwcA8l6VP,2020-09-17 11:02:58,Survey Preview,100,True,84,3695,ylketonuriars50
R_SJNBFBJwcA8l6VP,2020-09-17 11:02:58,Survey Preview,100,True,84,3902,PKHD1
R_SJNBFBJwcA8l6VP,2020-09-17 11:02:58,Survey Preview,100,True,84,3227,c.271dupA
R_SJNBFBJwcA8l6VP,2020-09-17 11:02:58,Survey Preview,100,True,84,1397,hyperplasiars151344504
R_SJNBFBJwcA8l6VP,2020-09-17 11:02:58,Survey Preview,100,True,84,1111,Cystic Fibrosisrs
R_SJNBFBJwcA8l6VP,2020-09-17 11:02:58,Survey Preview,100,True,84,3352,homocystinuria
R_SJNBFBJwcA8l6VP,2020-09-17 11:02:58,Survey Preview,100,True,84,3352,Smoking and having low folate level
R_SJNBFBJwcA8l6VP,2020-09-17 11:02:58,Survey Preview,100,True,84,3352,migraine
R_SJNBFBJwcA8l6VP,2020-09-17 11:02:58,Survey Preview,100,True,84,3352,cardiovascular disease
R_SJNBFBJwcA8l6VP,2020-09-17 11:02:58,Survey Preview,100,True,84,3352,Genetic impairments in folate enzymes
